panel,config,label,seed,budget_sec,iterations,training_time_sec,eval_time_sec,wall_time_sec,exploitability,gap_vs_full,info_sets
fixed,fixed_full,Full CFR+,1,180.0,2666,180.05307538898933,0.23421293199999127,180.29075176600008,4.31471093144814e-05,0.0,936
fixed,fixed_full,Full CFR+,2,180.0,2660,180.0250094649873,0.24205601399989973,180.2705109829999,4.721375708342801e-05,0.0,936
fixed,fixed_full,Full CFR+,3,180.0,2638,180.05426455098905,0.21266467700024805,180.27033581700016,4.290411762597479e-05,0.0,936
fixed,fixed_rank,Suit iso,1,180.0,14129,180.00876538002876,0.24564780399987285,180.26778338899976,3.30288540966589e-06,-3.984422390481551e-05,288
fixed,fixed_rank,Suit iso,2,180.0,14180,180.00344129397035,0.28656780399978743,180.30357069699994,2.9102752965026735e-06,-4.4303481786925336e-05,288
fixed,fixed_rank,Suit iso,3,180.0,14246,180.0056399669861,0.25452697199989416,180.2737199889998,3.184438477549234e-06,-3.971967914842556e-05,288
fixed,fixed_k2_perfect,k2 perfect,1,180.0,11333,180.0065783049772,0.2212743700001738,180.2389642789999,0.5710314975733866,0.570988350464072,132
fixed,fixed_k2_perfect,k2 perfect,2,180.0,11432,180.0015875400154,0.22212451000041256,180.23476562999986,0.5710273763426235,0.5709801625855401,132
fixed,fixed_k2_perfect,k2 perfect,3,180.0,11432,180.00803798196694,0.22410874499973943,180.2432898500001,0.5710273763426235,0.5709844722249975,132
fixed,fixed_k2_imperfect,k2 imperfect,1,180.0,11772,180.0092797780053,0.23575444400012202,180.25595217000046,0.5284708350753242,0.5284276879660097,72
fixed,fixed_k2_imperfect,k2 imperfect,2,180.0,11801,180.00654020498587,0.26879589300006046,180.28605991899985,0.5284164875013363,0.5283692737442529,72
fixed,fixed_k2_imperfect,k2 imperfect,3,180.0,11551,180.00198464192908,0.2588151910003944,180.2718632010001,0.5284227326407563,0.5283798285231304,72
fixed,fixed_k3_perfect,k3 perfect,1,180.0,10984,180.00799347300472,0.26249361600002885,180.2822778230002,0.3822806902232112,0.38223754311389674,228
fixed,fixed_k3_perfect,k3 perfect,2,180.0,11032,180.0050207660015,0.290816542000357,180.3074862429994,0.3822854854422144,0.38223827168513097,228
fixed,fixed_k3_perfect,k3 perfect,3,180.0,11114,180.0016318549042,0.24930700000004435,180.26267222800016,0.3822971649119213,0.3822542607942953,228
fixed,fixed_k3_imperfect,k3 imperfect,1,180.0,11441,180.0081923739608,0.2345023260004382,180.25389893899955,0.5740925011655272,0.5740493540562127,108
fixed,fixed_k3_imperfect,k3 imperfect,2,180.0,11545,180.00693362904985,0.22573383300004934,180.24425898699974,0.5747354318386481,0.5746882180815647,108
fixed,fixed_k3_imperfect,k3 imperfect,3,180.0,11440,180.01025923304314,0.22384309900007793,180.2452847200002,0.5741040232243639,0.574061119106738,108
fixed,fixed_k5_perfect,k5 perfect,1,180.0,11250,180.00745465594173,0.3157875229999263,180.33496838300016,0.3822845644436472,0.38224141733433276,228
fixed,fixed_k5_perfect,k5 perfect,2,180.0,11277,180.0157960219758,0.26521055400007754,180.29273963099968,0.3822835360838024,0.38223632232671895,228
fixed,fixed_k5_perfect,k5 perfect,3,180.0,11029,180.01561130102345,0.26558921099967847,180.2929920510005,0.38228593915286746,0.3822430350352415,228
fixed,fixed_k5_imperfect,k5 imperfect,1,180.0,11438,180.00677797700155,0.2313557600000422,180.24939466900014,0.5741283877109682,0.5740852406016537,108
